===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SMACross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
13,,13,2020-01-01 12:00:00,7197.2,7233.33,7196.15,7225.59,818.73,,SMACross,13,737425.5,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2020-01-01 13:00:00,7225.59,7231.89,7212.88,7221.2,571.45,,SMACross,14,737425.5416666666,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2020-01-01 14:00:00,7221.2,7234.97,7208.17,7221.43,577.26,,SMACross,15,737425.5833333334,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2020-01-01 15:00:00,7221.43,7255.0,7218.29,7234.19,1256.49,,SMACross,16,737425.625,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2020-01-01 16:00:00,7234.19,7246.42,7214.0,7245.37,835.92,,SMACross,17,737425.6666666666,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2020-01-01 17:00:00,7245.37,7249.99,7224.92,7236.83,1022.23,,SMACross,18,737425.7083333334,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2020-01-01 18:00:00,7236.83,7246.72,7225.17,7240.67,574.05,,SMACross,19,737425.75,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2020-01-01 19:00:00,7240.67,7241.0,7225.49,7229.48,402.18,,SMACross,20,737425.7916666666,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2020-01-01 20:00:00,7229.48,7242.98,7224.68,7236.73,378.62,,SMACross,21,737425.8333333334,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2020-01-01 21:00:00,7236.73,7242.75,7227.0,7233.17,274.92,,SMACross,22,737425.875,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2020-01-01 22:00:00,7233.17,7234.49,7186.0,7197.99,726.36,,SMACross,23,737425.9166666666,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2020-01-01 23:00:00,7197.99,7204.17,7175.15,7200.85,774.75,,SMACross,24,737425.9583333334,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2020-01-02 00:00:00,7200.85,7212.5,7185.46,7211.02,373.98,,SMACross,25,737426.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2020-01-02 01:00:00,7211.02,7211.16,7185.11,7190.99,372.76,,SMACross,26,737426.0416666666,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2020-01-02 02:00:00,7190.99,7191.0,7155.35,7169.02,1265.12,,SMACross,27,737426.0833333334,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2020-01-02 03:00:00,7169.02,7169.06,7120.37,7129.61,1409.21,,SMACross,28,737426.125,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-01-02 04:00:00,7129.61,7161.0,7116.7,7142.21,1182.93,,SMACross,29,737426.1666666666,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2020-01-02 05:00:00,7142.21,7152.05,7126.93,7138.93,536.5,,SMACross,30,737426.2083333334,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-01-02 06:00:00,7138.93,7149.02,7121.43,7135.97,639.65,,SMACross,31,737426.25,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-01-02 07:00:00,7135.97,7140.63,7105.0,7110.57,1434.99,,SMACross,32,737426.2916666666,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-01-02 08:00:00,7110.57,7157.48,7109.11,7154.36,1034.09,,SMACross,33,737426.3333333334,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-01-02 09:00:00,7154.36,7165.0,7135.36,7162.01,785.64,,SMACross,34,737426.375,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2020-01-02 10:00:00,7162.01,7180.0,7153.33,7161.83,1312.2,,SMACross,35,737426.4166666666,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2020-01-02 11:00:00,7161.83,7168.67,7139.03,7139.79,710.2,,SMACross,36,737426.4583333334,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2020-01-02 12:00:00,7139.79,7163.4,7139.03,7158.29,757.44,,SMACross,37,737426.5,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2020-01-02 13:00:00,7158.29,7163.35,7107.43,7131.15,1410.3,,SMACross,38,737426.5416666666,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2020-01-02 14:00:00,7131.15,7157.1,7122.34,7135.59,875.91,,SMACross,39,737426.5833333334,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2020-01-02 15:00:00,7135.59,7152.0,7120.0,7130.98,810.47,,SMACross,40,737426.625,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2020-01-02 16:00:00,7130.98,7146.85,7020.0,7052.32,2996.22,,SMACross,41,737426.6666666666,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2020-01-02 17:00:00,7052.32,7053.09,6924.74,6970.04,5244.63,,SMACross,42,737426.7083333334,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2020-01-02 18:00:00,6970.04,6989.68,6949.96,6974.02,1392.82,,SMACross,43,737426.75,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2020-01-02 19:00:00,6974.02,6995.0,6960.0,6983.27,1286.09,,SMACross,44,737426.7916666666,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2020-01-02 20:00:00,6983.27,6983.27,6941.27,6948.49,1049.68,,SMACross,45,737426.8333333334,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2020-01-02 21:00:00,6948.49,6985.0,6946.2,6977.73,607.34,,SMACross,46,737426.875,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2020-01-02 22:00:00,6977.73,6978.24,6963.02,6974.8,521.92,,SMACross,47,737426.9166666666,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2020-01-02 23:00:00,6974.8,6974.8,6950.0,6965.71,701.16,,SMACross,48,737426.9583333334,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2020-01-03 00:00:00,6965.71,6966.47,6912.88,6937.0,1027.22,,SMACross,49,737427.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2020-01-03 01:00:00,6937.0,6946.07,6878.19,6888.85,2012.07,,SMACross,50,737427.0416666666,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2020-01-03 02:00:00,6888.85,6966.8,6871.04,6956.88,2614.16,,SMACross,51,737427.0833333334,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2020-01-03 03:00:00,6956.88,6966.36,6940.0,6952.04,1195.9,,SMACross,52,737427.125,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2020-01-03 04:00:00,6952.04,7264.71,6948.64,7210.19,8412.13,,SMACross,53,737427.1666666666,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2020-01-03 05:00:00,7210.19,7249.0,7168.48,7220.47,3255.53,,SMACross,54,737427.2083333334,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2020-01-03 06:00:00,7220.47,7225.0,7190.14,7202.22,1916.31,,SMACross,55,737427.25,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2020-01-03 07:00:00,7202.22,7232.0,7185.04,7203.21,2013.23,,SMACross,56,737427.2916666666,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2020-01-03 08:00:00,7203.21,7297.29,7202.28,7260.6,3535.29,,SMACross,57,737427.3333333334,Broker,57,90.10000000000181,10068.976084412368,BuySell,57,7094.2458,,Trades - Net Profit/Loss,57,,
58,,58,2020-01-03 09:00:00,7260.6,7358.88,7256.56,7348.42,4897.76,,SMACross,58,737427.375,Broker,58,90.10000000000181,10189.674772913744,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2020-01-03 10:00:00,7348.42,7371.92,7281.3,7312.25,3551.5,,SMACross,59,737427.4166666666,Broker,59,90.10000000000181,10139.963185996245,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2020-01-03 11:00:00,7312.25,7346.0,7306.61,7340.46,1653.02,,SMACross,60,737427.4583333334,Broker,60,90.10000000000181,10178.734650385039,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2020-01-03 12:00:00,7340.46,7350.19,7303.14,7322.78,1561.25,,SMACross,61,737427.5,Broker,61,90.10000000000181,10154.43548376349,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2020-01-03 13:00:00,7322.78,7380.0,7311.59,7348.87,1718.77,,SMACross,62,737427.5416666666,Broker,62,90.10000000000181,10190.293247177302,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2020-01-03 14:00:00,7348.87,7362.31,7229.3,7254.73,4107.5,,SMACross,63,737427.5833333334,Broker,63,90.10000000000181,10060.908431241072,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2020-01-03 15:00:00,7254.73,7322.44,7252.48,7320.18,2144.33,,SMACross,64,737427.625,Broker,64,90.10000000000181,10150.86207690738,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2020-01-03 16:00:00,7320.18,7405.0,7293.1,7386.03,5309.39,,SMACross,65,737427.6666666666,Broker,65,90.10000000000181,10241.365477474626,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2020-01-03 17:00:00,7386.03,7403.2,7335.21,7355.26,2003.19,,SMACross,66,737427.7083333334,Broker,66,90.10000000000181,10199.075581719819,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2020-01-03 18:00:00,7355.26,7369.47,7330.32,7342.96,1338.24,,SMACross,67,737427.75,Broker,67,90.10000000000181,10182.170618515913,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2020-01-03 19:00:00,7342.96,7352.33,7280.0,7343.08,2063.76,,SMACross,68,737427.7916666666,Broker,68,90.10000000000181,10182.335544986194,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2020-01-03 20:00:00,7343.08,7361.0,7297.01,7316.99,1433.34,,SMACross,69,737427.8333333334,Broker,69,90.10000000000181,10146.477781572383,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2020-01-03 21:00:00,7316.99,7335.0,7262.68,7283.0,1118.19,,SMACross,70,737427.875,Broker,70,90.10000000000181,10099.762358865008,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2020-01-03 22:00:00,7283.0,7320.54,7260.01,7300.56,1271.08,,SMACross,71,737427.9166666666,Broker,71,90.10000000000181,10123.896599016274,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2020-01-03 23:00:00,7300.56,7346.08,7291.75,7344.96,1579.57,,SMACross,72,737427.9583333334,Broker,72,90.10000000000181,10184.919393020613,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2020-01-04 00:00:00,7344.96,7350.0,7289.98,7302.24,1125.48,,SMACross,73,737428.0,Broker,73,90.10000000000181,10126.20556960022,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2020-01-04 01:00:00,7302.24,7312.58,7280.85,7309.16,754.96,,SMACross,74,737428.0416666666,Broker,74,90.10000000000181,10135.716329386483,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2020-01-04 02:00:00,7309.16,7328.99,7296.18,7327.83,825.34,,SMACross,75,737428.0833333334,Broker,75,90.10000000000181,10161.376139387858,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2020-01-04 03:00:00,7327.83,7339.69,7318.56,7333.11,720.37,,SMACross,76,737428.125,Broker,76,90.10000000000181,10168.632904080265,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2020-01-04 04:00:00,7333.11,7338.46,7312.65,7334.86,649.3,,SMACross,77,737428.1666666666,Broker,77,20227.008742352366,10146.07066058049,BuySell,77,,7448.536899999999,Trades - Net Profit/Loss,77,158.5543711761847,
78,,78,2020-01-04 05:00:00,7334.86,7369.28,7325.0,7344.69,1236.94,,SMACross,78,737428.2083333334,Broker,78,20227.008742352366,10132.56043388989,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2020-01-04 06:00:00,7344.69,7367.88,7340.0,7354.96,1076.73,,SMACross,79,737428.25,Broker,79,20227.008742352366,10118.445476808254,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2020-01-04 07:00:00,7354.96,7363.63,7327.32,7348.11,1244.59,,SMACross,80,737428.2916666666,Broker,80,20227.008742352366,10127.860029486854,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2020-01-04 08:00:00,7348.11,7365.0,7330.0,7346.59,1211.51,,SMACross,81,737428.3333333334,Broker,81,8.51301919561169,10105.572663437553,BuySell,81,7220.05,,Trades - Net Profit/Loss,81,,-40.79349040219569
82,,82,2020-01-04 09:00:00,7346.59,7369.18,7339.28,7363.88,1005.79,,SMACross,82,737428.375,Broker,82,8.51301919561169,10129.335819030684,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2020-01-04 10:00:00,7363.88,7369.63,7304.36,7318.3,1671.23,,SMACross,83,737428.4166666666,Broker,83,8.51301919561169,10066.691248068571,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2020-01-04 11:00:00,7318.3,7339.27,7302.1,7336.45,1427.29,,SMACross,84,737428.4583333334,Broker,84,8.51301919561169,10091.636376698723,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2020-01-04 12:00:00,7336.45,7339.58,7305.0,7312.89,1074.36,,SMACross,85,737428.5,Broker,85,8.51301919561169,10059.255813033358,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2020-01-04 13:00:00,7312.89,7326.49,7291.0,7303.88,1439.4,,SMACross,86,737428.5416666666,Broker,86,8.51301919561169,10046.872583889684,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2020-01-04 14:00:00,7303.88,7323.74,7296.44,7316.72,819.08,,SMACross,87,737428.5833333334,Broker,87,8.51301919561169,10064.51971620986,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2020-01-04 15:00:00,7316.72,7332.0,7305.0,7318.99,824.23,,SMACross,88,737428.625,Broker,88,8.51301919561169,10067.639575272693,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2020-01-04 16:00:00,7318.99,7323.26,7297.91,7307.11,993.81,,SMACross,89,737428.6666666666,Broker,89,8.51301919561169,10051.311854714775,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2020-01-04 17:00:00,7307.11,7352.0,7305.0,7351.99,1150.97,,SMACross,90,737428.7083333334,Broker,90,8.51301919561169,10112.994354600243,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2020-01-04 18:00:00,7351.99,7404.0,7272.21,7306.92,3677.43,,SMACross,91,737428.75,Broker,91,20197.266727334063,10154.729025392846,BuySell,91,,7515.0599999999995,Trades - Net Profit/Loss,91,,-14.87100750915077
92,,92,2020-01-04 19:00:00,7306.92,7353.84,7283.01,7334.83,1824.44,,SMACross,92,737428.7916666666,Broker,92,20197.266727334063,10116.369877179757,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2020-01-04 20:00:00,7334.83,7352.64,7310.67,7341.06,1333.95,,SMACross,93,737428.8333333334,Broker,93,20197.266727334063,10107.807444597616,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2020-01-04 21:00:00,7341.06,7367.31,7330.72,7350.68,794.14,,SMACross,94,737428.875,Broker,94,20197.266727334063,10094.58583923001,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2020-01-04 22:00:00,7350.68,7359.7,7342.67,7350.24,445.52,,SMACross,95,737428.9166666666,Broker,95,20197.266727334063,10095.190569621045,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2020-01-04 23:00:00,7350.24,7363.0,7328.9,7354.11,494.37,,SMACross,96,737428.9583333334,Broker,96,20197.266727334063,10089.871690954451,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2020-01-05 00:00:00,7354.11,7393.0,7354.11,7373.48,1337.79,,SMACross,97,737429.0,Broker,97,20197.266727334063,10063.249809876432,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2020-01-05 01:00:00,7373.48,7481.87,7373.43,7459.18,5736.3,,SMACross,98,737429.0416666666,Broker,98,10053.115792958974,10053.115792958974,BuySell,98,7262.82855,,Trades - Net Profit/Loss,98,,-49.774080305863336
99,,99,2020-01-05 02:00:00,7459.18,7482.87,7432.79,7443.79,1865.56,,SMACross,99,737429.0833333334,Broker,99,10053.115792958974,10053.115792958974,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2020-01-05 03:00:00,7443.79,7478.0,7439.33,7475.99,1321.4,,SMACross,100,737429.125,Broker,100,10053.115792958974,10053.115792958974,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2020-01-05 04:00:00,7475.99,7495.0,7444.0,7457.14,1735.0,,SMACross,101,737429.1666666666,Broker,101,10053.115792958974,10053.115792958974,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2020-01-05 05:00:00,7457.14,7470.0,7444.0,7459.12,883.27,,SMACross,102,737429.2083333334,Broker,102,10053.115792958974,10053.115792958974,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2020-01-05 06:00:00,7459.12,7481.25,7437.4,7457.5,1084.64,,SMACross,103,737429.25,Broker,103,10053.115792958974,10053.115792958974,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2020-01-05 07:00:00,7457.5,7470.36,7442.0,7463.63,831.2,,SMACross,104,737429.2916666666,Broker,104,10053.115792958974,10053.115792958974,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2020-01-05 08:00:00,7463.63,7472.0,7410.0,7430.05,1474.5,,SMACross,105,737429.3333333334,Broker,105,10053.115792958974,10053.115792958974,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2020-01-05 09:00:00,7430.05,7436.84,7400.0,7427.74,1896.34,,SMACross,106,737429.375,Broker,106,10053.115792958974,10053.115792958974,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2020-01-05 10:00:00,7427.74,7432.28,7403.21,7415.12,948.88,,SMACross,107,737429.4166666666,Broker,107,10053.115792958974,10053.115792958974,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2020-01-05 11:00:00,7415.12,7440.0,7410.0,7422.33,935.26,,SMACross,108,737429.4583333334,Broker,108,10053.115792958974,10053.115792958974,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2020-01-05 12:00:00,7422.33,7460.46,7421.93,7457.01,1010.84,,SMACross,109,737429.5,Broker,109,10053.115792958974,10053.115792958974,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2020-01-05 13:00:00,7457.01,7458.0,7415.0,7431.15,1228.22,,SMACross,110,737429.5416666666,Broker,110,10053.115792958974,10053.115792958974,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2020-01-05 14:00:00,7431.15,7444.73,7425.0,7431.82,750.5,,SMACross,111,737429.5833333334,Broker,111,10053.115792958974,10053.115792958974,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2020-01-05 15:00:00,7431.82,7476.31,7430.99,7468.42,1719.67,,SMACross,112,737429.625,Broker,112,10053.115792958974,10053.115792958974,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,,113,2020-01-05 16:00:00,7468.42,7484.0,7450.0,7461.38,1632.46,,SMACross,113,737429.6666666666,Broker,113,10053.115792958974,10053.115792958974,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2020-01-05 17:00:00,7461.38,7470.76,7445.15,7464.65,854.84,,SMACross,114,737429.7083333334,Broker,114,10053.115792958974,10053.115792958974,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,,115,2020-01-05 18:00:00,7464.65,7468.87,7421.77,7438.72,1122.97,,SMACross,115,737429.75,Broker,115,10053.115792958974,10053.115792958974,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,,116,2020-01-05 19:00:00,7438.72,7449.69,7427.1,7444.14,871.55,,SMACross,116,737429.7916666666,Broker,116,10053.115792958974,10053.115792958974,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,,117,2020-01-05 20:00:00,7444.14,7445.0,7426.0,7431.6,629.21,,SMACross,117,737429.8333333334,Broker,117,10053.115792958974,10053.115792958974,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,,118,2020-01-05 21:00:00,7431.6,7431.6,7361.01,7368.52,1972.01,,SMACross,118,737429.875,Broker,118,10053.115792958974,10053.115792958974,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,,119,2020-01-05 22:00:00,7368.52,7385.65,7318.0,7355.73,1868.77,,SMACross,119,737429.9166666666,Broker,119,10053.115792958974,10053.115792958974,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,,120,2020-01-05 23:00:00,7355.73,7363.35,7321.0,7358.75,1288.16,,SMACross,120,737429.9583333334,Broker,120,10053.115792958974,10053.115792958974,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,,121,2020-01-06 00:00:00,7358.75,7384.72,7346.76,7378.75,1287.08,,SMACross,121,737430.0,Broker,121,10053.115792958974,10053.115792958974,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,,122,2020-01-06 01:00:00,7378.75,7426.82,7368.55,7423.5,1512.63,,SMACross,122,737430.0416666666,Broker,122,10053.115792958974,10053.115792958974,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,,123,2020-01-06 02:00:00,7423.5,7562.0,7421.64,7551.44,5229.8,,SMACross,123,737430.0833333334,Broker,123,10053.115792958974,10053.115792958974,BuySell,123,,,Trades - Net Profit/Loss,123,,
124,,124,2020-01-06 03:00:00,7551.44,7580.0,7486.85,7540.9,4312.32,,SMACross,124,737430.125,Broker,124,10053.115792958974,10053.115792958974,BuySell,124,,,Trades - Net Profit/Loss,124,,
125,,125,2020-01-06 04:00:00,7540.9,7554.61,7516.06,7529.52,1466.67,,SMACross,125,737430.1666666666,Broker,125,10053.115792958974,10053.115792958974,BuySell,125,,,Trades - Net Profit/Loss,125,,
126,,126,2020-01-06 05:00:00,7529.52,7541.55,7496.0,7532.85,1339.69,,SMACross,126,737430.2083333334,Broker,126,10053.115792958974,10053.115792958974,BuySell,126,,,Trades - Net Profit/Loss,126,,
127,,127,2020-01-06 06:00:00,7532.85,7537.53,7510.99,7520.0,823.13,,SMACross,127,737430.25,Broker,127,90.57857329456277,10026.18547578445,BuySell,127,7398.32515,,Trades - Net Profit/Loss,127,,
128,,128,2020-01-06 07:00:00,7520.0,7527.27,7505.57,7507.91,851.95,,SMACross,128,737430.2916666666,Broker,128,90.57857329456277,10010.211873729782,BuySell,128,,,Trades - Net Profit/Loss,128,,
129,,129,2020-01-06 08:00:00,7507.91,7551.68,7507.39,7547.55,1581.66,,SMACross,129,737430.3333333334,Broker,129,90.57857329456277,10062.585205859397,BuySell,129,,,Trades - Net Profit/Loss,129,,
130,,130,2020-01-06 09:00:00,7547.55,7553.0,7516.51,7550.78,1931.39,,SMACross,130,737430.375,Broker,130,90.57857329456277,10066.852760419906,BuySell,130,,,Trades - Net Profit/Loss,130,,
131,,131,2020-01-06 10:00:00,7550.78,7576.68,7535.64,7561.22,1712.99,,SMACross,131,737430.4166666666,Broker,131,90.57857329456277,10080.646342343045,BuySell,131,,,Trades - Net Profit/Loss,131,,
132,,132,2020-01-06 11:00:00,7561.22,7582.27,7526.88,7544.72,1966.7,,SMACross,132,737430.4583333334,Broker,132,90.57857329456277,10058.846141027741,BuySell,132,,,Trades - Net Profit/Loss,132,,
